Анализ за период с: 01.10.20 по 17.10.20;
Упаковка для кружки (мал.);10
Шампанское;6
Шоколадный набор;1
Развертка фирменная;20
Шоколад с логотипом 5 гр.;250
А21_ТЦ Богатырь (г. Санкт-Петербург);
Рекламация Р-00439 (08.10.2020);
213 Собран;
Чай в упаковке;1
Пакет фирменный (картонный);1
Кружка белая с логотипом;10
Упаковка для кружки (мал.);10
Шампанское;6
Шоколадный набор;4
Шоколад с логотипом 5 гр.;250
Листовка А5 акция Регионы;100
А21_ТЦ Богатырь 2 (г. Санкт-Петербург);
Рекламация Р-00440 (08.10.2020);
213 Собран;
Пакет фирменный (картонный);1
Кружка белая с логотипом;4
Упаковка для кружки (мал.);4
Шампанское;6
Шоколад с логотипом 5 гр.;250
Ах_ТЦ Гранд Каньон (г. Санкт-Петербург);
Рекламация Р-00461 (08.10.2020);
213 Собран;
Чай в упаковке;5
Пакет фирменный (картонный);5
Кружка белая с логотипом;12
Упаковка для кружки (мал.);10
Шампанское;6
Шоколадный набор;10
Шоколад с логотипом 5 гр.;500
Шарик зелёный;20
Шарик серый;20
Зажим для шарика;40
Палочка для шарика;40
Обои;9
Набор декора для ФС;2
Ах_ТЦ Мебель Сити (г. Санкт Петербург);
Рекламация Р-00463 (08.10.2020);
213 Собран;
Чай в упаковке;5
Пакет фирменный (картонный);5
Кружка белая с логотипом;5
Шампанское;6
Развертка фирменная;30
Шоколад с логотипом 5 гр.;250
НН Газель 379;
А21_ТЦ БУМ (г. Нижний Новгород);
Рекламация Р-00441 (08.10.2020);
213 собран;
Чай в упаковке;4
Кружка белая с логотипом;10
Упаковка для кружки (мал.);10
Шампанское;6
Шоколадный набор;5
Развертка фирменная;20
Шоколад с логотипом 5 гр.;250
Шарик зелёный;5
Шарик серый;5
Зажим для шарика;14
Палочка для шарика;20
А21_ТЦ Маяк (г. Владимир);
Рекламация Р-00442 (08.10.2020);
213 собран;
Чай в упаковке;3
Пакет фирменный (картонный);2
Кружка белая с логотипом;7
Упаковка для кружки (мал.);7
Шоколадный набор;4
Развертка фирменная;4
Шоколад с логотипом 5 гр.;250
Шарик зелёный;7
Шарик серый;7
Зажим для шарика;14
Палочка для шарика;14
А21_ТЦ Мебельный Базар (г. Нижний Новгород);
Рекламация Р-00446 (08.10.2020);
213 собран;
Чай в упаковке;1
Пакет фирменный (картонный);4
Кружка белая с логотипом;5
Упаковка для кружки (мал.);5
Шампанское;6
Шоколадный набор;3
Шоколад с логотипом 5 гр.;250
Листовка А5 акция Регионы;100
А21_ТЦ Открытый Материк (НН);
Рекламация Р-00453 (08.10.2020);
213 собран;
Чай в упаковке;4
Пакет фирменный (картонный);4
Кружка белая с логотипом;10
Упаковка для кружки (мал.);10
Шампанское;6
Шоколадный набор;5
Шоколад с логотипом 5 гр.;250
Листовка А5 акция Регионы;100
Шарик зелёный;20
Зажим для шарика;60
Палочка для шарика;60
А21_ТЦ Подкова (г. Владимир);
Рекламация Р-00455 (08.10.2020);
213 собран;
Чай в упаковке;3
Пакет фирменный (картонный);2
Кружка белая с логотипом;12
Упаковка для кружки (мал.);12
Шампанское;6
Шоколадный набор;5
Развертка фирменная;11
Шоколад с логотипом 5 гр.;250
Шарик зелёный;20
Шарик серый;20
Зажим для шарика;40
Палочка для шарика;40
%Укомплектованный заказ Комус для ФС;1
СПБ Газель 386 (СмирновИП);
А21_ТЦ Мебельвуд (г. Санкт-Петербург);
Рекламация Р-00444 (08.10.2020);
213 Собран;
Пакет фирменный (картонный);7
Кружка белая с логотипом;10
Упаковка для кружки (мал.);9
Шампанское;6
Шоколадный набор;2
Шоколад с логотипом 5 гр.;250
Листовка А5 акция Регионы;100
Шарик зелёный;20
Шарик серый;20
Зажим для шарика;30
Палочка для шарика;20
Ах_ТЦ Мебель Холл (г.Санкт-Петербург);
Рекламация Р-00464 (08.10.2020);
213 Собран;
Чай в упаковке;1
Пакет фирменный (картонный);1
Кружка белая с логотипом;10
Упаковка для кружки (мал.);10
Шампанское;6
Развертка фирменная;10
Шоколад с логотипом 5 гр.;250
Листовка А5 акция Регионы;100
Шарик зелёный;10
Шарик серый;10
Зажим для шарика;20
Палочка для шарика;30
Ах_ТЦ Мебель Холл 2 (г.Санкт-Петербург);
Рекламация Р-00465 (08.10.2020);
213 Собран;
Чай в упаковке;4
Пакет фирменный (картонный);4
Кружка белая с логотипом;10
Упаковка для кружки (мал.);10
Шампанское;6
Шоколадный набор;4
Шоколад с логотипом 5 гр.;250
Листовка А5 акция Регионы;100
Софит ламповый серый;2
Шина для софитов серая 1 метр;1
Комплектующие для софита;1
НН Газель 278;
А21_ТЦ Мега Молл (г. Чебоксары);
Рекламация Р-00450 (08.10.2020);
213 собран;
Чай в упаковке;2
Кружка белая с логотипом;6
Упаковка для кружки (мал.);6
Шампанское;6
Шоколадный набор;4
Развертка фирменная;6
Шоколад с логотипом 5 гр.;250
Листовка А5 акция Регионы;100
Шарик зелёный;10
Шарик серый;10
Зажим для шарика;20
Палочка для шарика;20
%Укомплектованный заказ Комус для ФС;1
А21_ТЦ МТВ-Центр (г.Чебоксары 1);
Рекламация Р-00451 (08.10.2020);
213 собран;
Рекламация Р-00467 (08.10.2020);
Кружка белая с логотипом;6
Упаковка для кружки (мал.);6
Шоколадный набор;1
Листовка А5 акция Регионы;100
Папка картонная А4 для клиентов;200
А21_ТЦ Порт Уют (Дзержинск);
Рекламация Р-00456 (08.10.2020);
213 собран;
Чай в упаковке;4
Пакет фирменный (картонный);4
Кружка белая с логотипом;10
Упаковка для кружки (мал.);10
Шампанское;6
Шоколадный набор;3
Развертка фирменная;20
Шоколад с логотипом 5 гр.;500
Шарик зелёный;25
Шарик серый;25
Зажим для шарика;50
Палочка для шарика;50
